name,description,location,capacity,amenities,facilities,reservation_info,pet_policy,fire_policy,site_type,cost_per_night,operating_season_start,operating_season_end,status,featured,created_by,address,city,state,country,postal_code,latitude,longitude
Beals Point Campground,"Family-friendly campground at Folsom Lake with 69 campsites accommodating trailers and RVs up to 31 feet. Features beach access, snack bar, and water recreation.",Folsom Lake SRA,69,"hot showers,beach access,snack bar,kayak rentals,hiking trails","restrooms,dump station,fire rings,picnic tables","Available year-round via ReserveCalifornia.com or 800-444-PARK",allowed,allowed,public,35.00,January,December,approved,true,,7806 Folsom-Auburn Rd,Granite Bay,CA,USA,95630,38.7070,-121.1500
Fallen Leaf Lake Campground,"Large forest campground with 206 sites including six yurts. Wooded sites near Fallen Leaf Lake with hot showers and stunning mountain views.",Lake Tahoe,206,"hot showers,general store,food storage boxes,paved parking","restrooms,dump station,fire rings,picnic tables,BBQ grills","Recreation.gov or 877-444-6777. Open mid-May to mid-October",allowed,allowed,public,47.00,May,October,approved,true,,2165 Fallen Leaf Road,South Lake Tahoe,CA,USA,96150,38.9264,-120.0470
Nevada Beach Campground,"Lakeside campground with beach access on Lake Tahoe's southeast shore. No hookups but great location for water activities and lake views.",Lake Tahoe,54,"beach access,lake views,picnic tables","restrooms,fire rings,BBQ grills","Recreation.gov or 877-444-6777. 6 months advance booking",allowed,allowed,public,47.00,May,October,approved,true,,Elks Point Road,Stateline,NV,USA,89449,38.9600,-119.9400
Emerald Bay State Park - Eagle Point,"Scenic campground with 100+ sites near iconic Emerald Bay. Mix of tent and RV sites with stunning lake views and access to hiking trails.",Lake Tahoe,100,"hot showers,amphitheater,lake views,hiking trails","restrooms,dump station,fire rings,picnic tables,food lockers","ReserveCalifornia.com or 800-444-7275. Nonrefundable $7.99 fee",allowed,allowed,public,35.00,June,September,approved,true,,Highway 89,South Lake Tahoe,CA,USA,96150,38.9530,-120.1050
Camp Richardson Resort,"Full-service resort with 300+ tent and RV sites plus cabins. Features lakefront restaurant, marina, general store, and mountain sports center.",Lake Tahoe,300,"restaurant,marina,general store,ice cream parlor,coffee shop","restrooms,showers,fire rings,picnic tables,food storage","Call 530-541-1801 or visit camprichardson.com",not_allowed,allowed,private,45.00,May,October,approved,true,,1900 Jameson Beach Road,South Lake Tahoe,CA,USA,96150,38.9420,-120.0650
Stumpy Meadows Campground,"Peaceful forest campground on Stumpy Meadows Reservoir with 40 sites. Great for fishing and swimming with 5 mph speed limit on lake.",Georgetown,40,"boat ramp,fishing,swimming,hiking trails","vault toilets,drinking water,picnic tables","Recreation.gov or 877-444-6777. Open late May to late September",allowed,allowed,public,28.00,May,September,approved,false,,Stumpy Meadows Road,Georgetown,CA,USA,95634,38.8900,-120.5300
Peninsula Campground - Folsom Lake,"Secluded oak woodland camping with 104 sites at Folsom Lake. Peaceful retreat with access to water sports and hiking trails.",Folsom Lake SRA,104,"hiking trails,water sports,oak woodland","restrooms,showers,dump station,picnic tables,fire rings","ReserveCalifornia.com or 800-444-PARK. Year-round availability",allowed,allowed,public,35.00,January,December,approved,false,,Peninsula Campground Road,Pilot Hill,CA,USA,95664,38.7400,-121.1200
D.L. Bliss State Park,"Premium lakeside campground with 147 sites and beach access. Features Rubicon Trail access and stunning Lake Tahoe views. Currently closed for 2025.",Lake Tahoe,147,"beach access,hiking trails,lake views","restrooms,showers,dump station,fire rings,picnic tables","ReserveCalifornia.com. Closed for 2025 season - waterline replacement",allowed,allowed,public,35.00,June,September,pending,false,,9881 California 89,South Lake Tahoe,CA,USA,96150,38.9779,-120.1027
Emerald Bay Boat-In Camp,"Primitive boat-in only campground with 20 sites. Each site includes personal buoy and private dock access. Unique backcountry experience.",Lake Tahoe,20,"boat dock,personal buoy,backcountry experience","vault toilets,drinking water,picnic tables,fire pits,bear boxes","ReserveCalifornia.com or 800-444-7275. Boat access only",allowed,allowed,public,35.00,June,September,approved,false,,Emerald Bay,South Lake Tahoe,CA,USA,96150,38.9550,-120.1100
Lake Tahoe KOA,"Private campground with friendly staff and well-enforced quiet hours. Beautifully shaded sites under tall trees near South Lake Tahoe.",South Lake Tahoe,100,"wifi,camp store,playground,quiet hours enforced","restrooms,showers,laundry,picnic tables,fire rings","Call or visit KOA.com for reservations",allowed,fire_pits_only,private,55.00,April,October,approved,false,,760 US Highway 50,Zephyr Cove,NV,USA,89448,38.9800,-119.9500
