name,description,location,difficulty,distance,duration,elevation,trail_type,features,dog_friendly,permits_required,best_season,water_sources,parking_info,status,featured,created_by,address,city,state,country,postal_code,latitude,longitude
Mount Tallac Trail,"Challenging climb to the summit of Mount Tallac at 9,735 feet with stunning panoramic views of Emerald Bay, Cascade Lake, Fallen Leaf Lake, and the entire South Shore. One of Lake Tahoe's most iconic hikes.",Lake Tahoe,hard,9.5,4.5,3500,out_and_back,"summit views,wildflowers,alpine lake",false,,summer|fall,true,"Large paved parking area at trailhead on Mount Tallac Road. Arrive early on weekends—fills by 8am in summer.",approved,true,,Mount Tallac Road,South Lake Tahoe,CA,USA,96150,38.9215,-120.0682
Eagle Lake Trail,"Moderate hike through Desolation Wilderness leading to the picturesque Eagle Lake. Trail offers beautiful alpine scenery and is accessible from Emerald Bay.",Lake Tahoe,moderate,1.8,1.25,429,out_and_back,"alpine lake,wildflowers,scenic views",true,"Desolation Wilderness day-use permit required in summer (free, self-issue at trailhead)",summer|fall,true,"Bayview Campground trailhead parking on Hwy 89. Day-use fee applies. Overflow on shoulder of Hwy 89.",approved,true,,138 Emerald Bay Rd,South Lake Tahoe,CA,USA,96150,38.9519,-120.1119
Cascade Falls Trail,"Popular short hike to a spectacular 200-foot waterfall with views of Cascade Lake and Lake Tahoe. Trail starts from Bayview Campground near Emerald Bay.",Lake Tahoe,moderate,1.4,1.25,200,out_and_back,"waterfall,scenic views,forest",true,,spring|summer|fall,true,"Bayview Campground parking area off Hwy 89. Day-use fee. Fills quickly on summer weekends.",approved,true,,Emerald Bay Road,South Lake Tahoe,CA,USA,96150,38.9500,-120.1000
Rubicon Trail,"Scenic shoreline trail along Lake Tahoe's southwest corner, contours between D.L. Bliss and Emerald Bay State Parks with continuous panoramic lake views.",Lake Tahoe,moderate,4.5,2.5,300,point_to_point,"lake views,beach access,historic sites",true,,summer|fall,false,"D.L. Bliss State Park entrance parking or Emerald Bay day-use lot. Shuttle recommended for point-to-point.",approved,true,,Highway 89,South Lake Tahoe,CA,USA,96142,38.9800,-120.1000
Hidden Falls Trail,"Beautiful hike through Sierra Foothills leading to hidden waterfalls. Network of trails up to 11 miles with mix of easy and moderate terrain. Dog-friendly on leash.",Auburn,moderate,6.5,3.5,640,loop,"waterfall,wildlife,wildflowers",true,,spring|fall,true,"Large free parking area at trailhead off Hwy 49 S in Auburn. Open sunrise to sunset.",approved,true,,Highway 49 S,Auburn,CA,USA,95603,38.9589,-121.1641
American River Parkway Trail,"World-renowned 32-mile paved multi-use trail from Discovery Park in Sacramento to Beal's Point in Folsom. Follows the American River with mile markers, water fountains and restrooms.",Sacramento,easy,32,7,1243,point_to_point,"river views,paved trail,bike friendly",true,,spring|summer|fall|winter,true,"Multiple access points along the trail. Discovery Park and Beal's Point have large lots. Street parking available at many trail access points.",approved,true,,Jibboom St & Natomas Park Dr,Sacramento,CA,USA,95814,38.5937,-121.5008
Cosumnes River Preserve Trail,"Easy loop trail through wetlands, riparian forest, and grasslands. Home to over 250 species of birds. Includes paved boardwalk to observation platform.",Galt,easy,3.2,1.5,50,loop,"wildlife,birdwatching,wetlands",true,,fall|winter|spring,true,"Free paved parking lot at the preserve visitor center on Franklin Blvd in Galt.",approved,true,,13501 Franklin Blvd,Galt,CA,USA,95632,38.2500,-121.4300
Bassi Falls Trail,"Moderate hike in El Dorado National Forest to a stunning 109-foot waterfall. Best visited in spring and early summer when water flow is strongest.",El Dorado National Forest,moderate,3.6,2.5,400,out_and_back,"waterfall,forest,swimming hole",true,,spring|summer,true,"Small dirt pullout at trailhead on Bassi Road off Ice House Road. Very limited space—arrive early.",approved,false,,,Pollock Pines,CA,USA,95726,38.8000,-120.3000
Stevens Trail,"Popular 8-mile round trip trail descending through forests along the American River. Features canyon views, wildflowers in spring, and river access for swimming.",Colfax,moderate,8.0,3.5,1200,out_and_back,"river access,wildflowers,canyon views",true,,spring|fall,true,"Trailhead parking on Canyon Way in Colfax. Free gravel lot with room for about 20 cars.",approved,false,,,Colfax,CA,USA,95713,39.1000,-120.9500
Lake Natoma Loop Trail,"Scenic 11.5-mile loop around Lake Natoma providing serene water views. Mostly flat, paved trail perfect for hiking, biking, and running.",Folsom,easy,11.5,3.5,200,loop,"lake views,paved trail,bike friendly",true,,spring|summer|fall|winter,false,"Parking at Negro Bar State Park or Nimbus Flat. Day-use fee applies at state park lots.",approved,false,,,Folsom,CA,USA,95630,38.6500,-121.1500
